기준_년분기_코드,자치구_코드,자치구_코드_명,월_평균_소득_금액,소득_구간_코드,지출_총_금액,식료품_지출_총금액,의류_신발_지출_총금액,생활용품_지출_총금액,의료비_지출_총금액,교통_지출_총금액,교육_지출_총금액,유흥_지출_총금액,여가_문화_지출_총금액,기타_지출_총금액,음식_지출_총금액
20213,11380,은평구,2912739.0,06,75823673000.0,22496557000.0,3432750000.0,2121287000.0,15547137000.0,4230961000.0,4158885000.0,1205952000.0,3994844000.0,3016521000.0,15618779000.0
20213,11680,강남구,4943841.0,09,2187039143000.0,39645100000.0,19732086000.0,8981877000.0,125483480000.0,28143728000.0,31323057000.0,4929313000.0,1031301454000.0,837615401000.0,59883647000.0
20213,11740,강동구,3292857.0,07,152414808000.0,23454735000.0,1714286000.0,1648926000.0,17198010000.0,3729150000.0,5446878000.0,1300170000.0,77311558000.0,3163875000.0,17447220000.0
20213,11140,중구,3513603.0,07,2123566170000.0,36607132000.0,5468500000.0,7322112000.0,11486435000.0,320267958000.0,19832087000.0,1257052000.0,1666613804000.0,33962597000.0,20748493000.0
20212,11215,광진구,3192971.0,07,76725196000.0,18922141000.0,3423196000.0,2011558000.0,10702979000.0,5085786000.0,2938043000.0,2774204000.0,5398047000.0,4069149000.0,21400093000.0
20212,11440,마포구,3832436.0,08,1075300352000.0,27169199000.0,6160861000.0,2803347000.0,15396002000.0,3301793000.0,7781172000.0,4657566000.0,960326195000.0,7885542000.0,39818675000.0
20212,11530,구로구,2994059.0,07,901197831000.0,24745217000.0,1726580000.0,2330272000.0,20169742000.0,3180499000.0,3246595000.0,1829614000.0,824194379000.0,2778924000.0,16996009000.0
20212,11560,영등포구,3604887.0,07,339440941000.0,25997797000.0,4033787000.0,2564254000.0,17820723000.0,177716010000.0,2827964000.0,2692633000.0,35425929000.0,36056123000.0,34305721000.0
20212,11620,관악구,2771927.0,06,97017559000.0,27249063000.0,2732730000.0,1734708000.0,13746006000.0,2617198000.0,13688991000.0,2723604000.0,5973223000.0,4053924000.0,22498112000.0
20212,11320,도봉구,2785111.0,06,42510768000.0,13421239000.0,768786000.0,1098684000.0,5788864000.0,4258388000.0,2100087000.0,876403000.0,2653118000.0,1463158000.0,10082041000.0
